freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.186e+01,8.047e+01,2.046e+02,2.969e+02
1.5,2.507e+01,8.301e+01,1.435e+02,2.516e+02
3.1,2.266e+01,5.238e+01,4.325e+01,1.183e+02
4.6,2.457e+01,5.723e+01,3.083e+02,3.901e+02
6.1,2.454e+01,6.273e+01,1.132e+03,1.219e+03
7.7,2.389e+01,5.622e+01,1.968e+03,2.048e+03
9.2,2.991e+01,5.201e+01,2.824e+03,2.906e+03
10.7,2.998e+01,6.005e+01,3.783e+03,3.873e+03
12.3,2.511e+01,6.446e+01,4.939e+03,5.028e+03
13.8,2.594e+01,7.024e+01,6.717e+03,6.813e+03
15.3,2.472e+01,7.877e+01,8.704e+03,8.808e+03
16.9,4.026e+01,1.051e+02,1.071e+04,1.086e+04
18.4,1.051e+02,1.361e+02,1.220e+04,1.244e+04
19.9,2.226e+02,1.749e+02,1.393e+04,1.432e+04
21.5,3.819e+02,2.122e+02,1.607e+04,1.667e+04
23.0,5.137e+02,2.856e+02,2.053e+04,2.133e+04
24.6,7.131e+02,5.232e+02,2.909e+04,3.033e+04
26.1,9.598e+02,1.054e+03,4.344e+04,4.545e+04
27.6,1.228e+03,2.017e+03,6.098e+04,6.423e+04
29.2,1.391e+03,3.384e+03,7.684e+04,8.162e+04
30.7,1.609e+03,5.382e+03,9.440e+04,1.014e+05
32.2,1.721e+03,8.294e+03,1.126e+05,1.226e+05
33.8,1.630e+03,1.280e+04,1.326e+05,1.470e+05
35.3,1.614e+03,2.500e+04,1.881e+05,2.147e+05
36.8,1.668e+03,4.662e+04,2.655e+05,3.138e+05
38.4,1.683e+03,6.711e+04,2.828e+05,3.515e+05
39.9,1.793e+03,7.421e+04,2.303e+05,3.063e+05
41.4,1.537e+03,6.371e+04,1.495e+05,2.147e+05
43.0,1.109e+03,5.319e+04,9.097e+04,1.453e+05
44.5,9.345e+02,5.080e+04,6.148e+04,1.132e+05
