freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.618e+03,4.038e+01,2.410e+01,1.682e+03
1.5,9.519e+02,1.152e+02,4.628e+01,1.113e+03
3.1,5.640e+01,1.170e+02,3.895e+01,2.123e+02
4.6,5.159e+02,1.370e+02,4.351e+01,6.963e+02
6.1,1.962e+03,1.265e+02,4.654e+01,2.135e+03
7.7,3.097e+03,1.462e+02,4.916e+01,3.293e+03
9.2,3.745e+03,1.475e+02,4.906e+01,3.942e+03
10.7,5.006e+03,1.355e+02,4.759e+01,5.189e+03
12.2,6.661e+03,1.328e+02,4.597e+01,6.840e+03
13.8,8.781e+03,1.294e+02,5.072e+01,8.961e+03
15.3,1.121e+04,1.224e+02,7.311e+01,1.140e+04
16.8,1.425e+04,1.311e+02,1.113e+02,1.449e+04
18.4,1.706e+04,1.384e+02,1.753e+02,1.737e+04
19.9,1.913e+04,1.517e+02,2.375e+02,1.952e+04
21.4,2.108e+04,1.684e+02,3.102e+02,2.156e+04
23.0,2.421e+04,1.910e+02,3.594e+02,2.476e+04
24.5,2.894e+04,2.101e+02,4.997e+02,2.965e+04
26.0,3.431e+04,2.379e+02,7.049e+02,3.525e+04
27.5,3.904e+04,2.435e+02,8.355e+02,4.012e+04
29.1,4.258e+04,3.129e+02,1.190e+03,4.408e+04
30.6,4.600e+04,3.926e+02,1.820e+03,4.821e+04
32.1,4.992e+04,4.749e+02,2.529e+03,5.293e+04
33.7,5.262e+04,4.941e+02,2.823e+03,5.594e+04
35.2,5.885e+04,4.594e+02,2.852e+03,6.216e+04
36.7,6.708e+04,4.813e+02,2.980e+03,7.054e+04
38.3,7.533e+04,5.016e+02,3.316e+03,7.914e+04
39.8,8.645e+04,4.622e+02,3.153e+03,9.006e+04
41.3,1.013e+05,4.879e+02,2.003e+03,1.038e+05
42.8,1.170e+05,6.816e+02,1.638e+03,1.193e+05
44.4,1.308e+05,7.245e+02,1.963e+03,1.335e+05
45.9,1.445e+05,7.353e+02,2.668e+03,1.479e+05
47.4,1.694e+05,7.240e+02,3.258e+03,1.734e+05
49.0,1.999e+05,5.826e+02,3.264e+03,2.037e+05
50.5,2.338e+05,4.334e+02,3.118e+03,2.373e+05
52.0,2.713e+05,3.408e+02,2.981e+03,2.746e+05
53.6,3.113e+05,2.391e+02,2.437e+03,3.140e+05
55.1,3.400e+05,1.959e+02,1.829e+03,3.420e+05
56.6,3.878e+05,1.918e+02,1.476e+03,3.895e+05
58.1,4.744e+05,2.164e+02,1.258e+03,4.759e+05
59.7,5.900e+05,3.286e+02,1.134e+03,5.915e+05
61.2,7.380e+05,4.470e+02,1.219e+03,7.397e+05
62.7,9.250e+05,5.412e+02,1.617e+03,9.272e+05
64.3,1.163e+06,5.359e+02,2.652e+03,1.167e+06
65.8,1.472e+06,4.384e+02,4.294e+03,1.477e+06
67.3,1.868e+06,4.312e+02,6.324e+03,1.875e+06
68.9,2.341e+06,8.626e+02,7.952e+03,2.350e+06
70.4,2.768e+06,1.983e+03,8.326e+03,2.778e+06
71.9,3.471e+06,4.248e+03,8.786e+03,3.484e+06
73.4,5.129e+06,8.925e+03,1.092e+04,5.149e+06
75.0,7.626e+06,1.772e+04,1.626e+04,7.660e+06
76.5,9.989e+06,2.954e+04,2.154e+04,1.004e+07
78.0,1.096e+07,3.805e+04,2.222e+04,1.102e+07
79.6,1.007e+07,3.547e+04,1.739e+04,1.013e+07
81.1,8.408e+06,2.825e+04,1.234e+04,8.449e+06
82.6,6.858e+06,2.646e+04,9.975e+03,6.894e+06
84.2,5.679e+06,2.630e+04,9.184e+03,5.714e+06
85.7,4.789e+06,2.393e+04,8.353e+03,4.821e+06
87.2,3.975e+06,2.000e+04,7.748e+03,4.003e+06
88.7,3.229e+06,1.583e+04,7.247e+03,3.252e+06
90.3,2.710e+06,1.270e+04,7.205e+03,2.730e+06
91.8,2.314e+06,1.100e+04,7.528e+03,2.332e+06
93.3,1.996e+06,1.069e+04,8.634e+03,2.016e+06
94.9,1.730e+06,1.100e+04,9.575e+03,1.751e+06
96.4,1.452e+06,1.179e+04,1.029e+04,1.474e+06
97.9,1.144e+06,1.200e+04,1.054e+04,1.166e+06
99.5,9.256e+05,1.211e+04,1.154e+04,9.492e+05
101.0,8.371e+05,1.253e+04,1.310e+04,8.627e+05
102.5,7.828e+05,1.251e+04,1.480e+04,8.101e+05
104.0,7.438e+05,1.248e+04,1.721e+04,7.735e+05
105.6,7.084e+05,1.221e+04,1.876e+04,7.394e+05
107.1,6.813e+05,1.161e+04,1.885e+04,7.117e+05
108.6,6.750e+05,1.048e+04,1.748e+04,7.030e+05
110.2,6.598e+05,9.571e+03,1.622e+04,6.856e+05
111.7,6.302e+05,9.245e+03,1.415e+04,6.536e+05
113.2,6.203e+05,1.004e+04,1.109e+04,6.414e+05
114.8,6.300e+05,1.205e+04,8.326e+03,6.503e+05
116.3,6.410e+05,1.459e+04,6.108e+03,6.617e+05
117.8,6.606e+05,1.889e+04,5.452e+03,6.850e+05
119.3,7.051e+05,2.540e+04,6.960e+03,7.375e+05
120.9,7.508e+05,3.565e+04,1.002e+04,7.965e+05
