freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.154e+01,2.143e+02,4.113e+02,6.471e+02
1.5,3.232e+01,2.380e+02,2.781e+02,5.484e+02
3.1,2.809e+01,1.634e+02,6.882e+01,2.603e+02
4.6,3.313e+01,1.900e+02,5.762e+02,7.993e+02
6.1,2.896e+01,1.573e+02,2.099e+03,2.285e+03
7.6,2.941e+01,1.674e+02,3.576e+03,3.773e+03
9.2,4.173e+01,1.799e+02,5.144e+03,5.365e+03
10.7,4.526e+01,1.971e+02,6.987e+03,7.229e+03
12.2,3.639e+01,2.130e+02,9.329e+03,9.579e+03
13.8,3.345e+01,2.080e+02,1.283e+04,1.308e+04
15.3,3.945e+01,2.179e+02,1.693e+04,1.719e+04
16.8,8.766e+01,2.812e+02,2.064e+04,2.100e+04
18.3,2.282e+02,3.444e+02,2.291e+04,2.349e+04
19.9,4.247e+02,4.076e+02,2.599e+04,2.682e+04
21.4,6.364e+02,4.672e+02,3.070e+04,3.180e+04
22.9,8.320e+02,6.934e+02,4.134e+04,4.286e+04
24.5,1.137e+03,1.333e+03,6.194e+04,6.441e+04
26.0,1.478e+03,2.643e+03,9.086e+04,9.498e+04
27.5,1.775e+03,4.721e+03,1.221e+05,1.286e+05
29.1,2.153e+03,7.512e+03,1.517e+05,1.613e+05
30.6,2.513e+03,1.127e+04,1.797e+05,1.935e+05
32.1,2.454e+03,1.664e+04,2.112e+05,2.303e+05
33.6,2.049e+03,2.779e+04,2.695e+05,2.994e+05
35.2,1.841e+03,5.846e+04,4.080e+05,4.683e+05
36.7,1.663e+03,1.047e+05,5.354e+05,6.417e+05
38.2,1.423e+03,1.291e+05,5.054e+05,6.359e+05
39.8,1.253e+03,1.354e+05,4.007e+05,5.374e+05
41.3,1.238e+03,1.387e+05,2.933e+05,4.333e+05
42.8,1.246e+03,1.342e+05,1.977e+05,3.332e+05
44.3,1.093e+03,1.182e+05,1.232e+05,2.425e+05
45.9,8.998e+02,9.911e+04,7.490e+04,1.749e+05
47.4,8.598e+02,9.328e+04,5.024e+04,1.444e+05
48.9,8.171e+02,9.141e+04,3.474e+04,1.270e+05
50.5,7.170e+02,8.986e+04,2.403e+04,1.146e+05
52.0,6.407e+02,9.077e+04,1.703e+04,1.084e+05
53.5,6.322e+02,9.087e+04,1.185e+04,1.034e+05
55.0,7.065e+02,8.481e+04,7.982e+03,9.350e+04
56.6,8.500e+02,8.312e+04,5.939e+03,8.991e+04
58.1,1.149e+03,9.195e+04,5.698e+03,9.880e+04
59.6,1.587e+03,1.050e+05,6.978e+03,1.135e+05
61.2,2.031e+03,1.220e+05,1.089e+04,1.349e+05
62.7,3.172e+03,1.363e+05,1.899e+04,1.585e+05
64.2,4.306e+03,1.567e+05,3.269e+04,1.937e+05
65.7,4.727e+03,1.987e+05,5.488e+04,2.583e+05
67.3,6.226e+03,2.663e+05,9.074e+04,3.633e+05
68.8,1.017e+04,3.662e+05,1.445e+05,5.208e+05
70.3,1.656e+04,4.604e+05,1.990e+05,6.760e+05
71.9,2.644e+04,5.793e+05,2.709e+05,8.767e+05
73.4,4.261e+04,8.069e+05,4.110e+05,1.260e+06
74.9,5.773e+04,9.279e+05,5.052e+05,1.491e+06
76.4,7.117e+04,9.057e+05,5.324e+05,1.509e+06
78.0,8.056e+04,8.041e+05,5.112e+05,1.396e+06
79.5,7.890e+04,6.889e+05,4.707e+05,1.238e+06
81.0,7.338e+04,5.999e+05,4.328e+05,1.106e+06
82.6,6.946e+04,5.225e+05,3.986e+05,9.905e+05
84.1,6.549e+04,4.479e+05,3.658e+05,8.792e+05
85.6,6.077e+04,3.813e+05,3.324e+05,7.745e+05
87.2,5.419e+04,3.244e+05,2.996e+05,6.782e+05
88.7,4.638e+04,2.766e+05,2.683e+05,5.913e+05
90.2,3.867e+04,2.356e+05,2.363e+05,5.105e+05
91.7,3.367e+04,2.022e+05,2.095e+05,4.454e+05
93.3,2.880e+04,1.733e+05,1.884e+05,3.905e+05
94.8,2.581e+04,1.498e+05,1.723e+05,3.479e+05
96.3,2.339e+04,1.290e+05,1.549e+05,3.073e+05
97.9,2.169e+04,9.538e+04,1.185e+05,2.356e+05
99.4,1.946e+04,7.079e+04,9.304e+04,1.833e+05
100.9,1.891e+04,6.499e+04,9.179e+04,1.757e+05
102.4,1.861e+04,6.137e+04,9.309e+04,1.731e+05
104.0,1.862e+04,5.880e+04,9.401e+04,1.714e+05
105.5,1.908e+04,5.712e+04,9.407e+04,1.703e+05
107.0,1.959e+04,5.615e+04,9.368e+04,1.694e+05
108.6,2.110e+04,5.601e+04,9.338e+04,1.705e+05
110.1,2.303e+04,5.664e+04,9.426e+04,1.739e+05
111.6,2.372e+04,5.555e+04,9.450e+04,1.738e+05
113.1,2.389e+04,5.256e+04,9.465e+04,1.711e+05
114.7,2.390e+04,4.848e+04,9.646e+04,1.688e+05
116.2,2.300e+04,4.429e+04,9.638e+04,1.637e+05
117.7,2.107e+04,3.901e+04,9.220e+04,1.523e+05
119.3,2.025e+04,3.397e+04,8.330e+04,1.375e+05
120.8,2.104e+04,2.952e+04,7.080e+04,1.214e+05
122.3,2.294e+04,2.621e+04,5.838e+04,1.075e+05
123.8,2.616e+04,2.398e+04,4.685e+04,9.699e+04
125.4,3.031e+04,2.207e+04,3.837e+04,9.076e+04
126.9,3.569e+04,1.938e+04,3.342e+04,8.849e+04
128.4,4.452e+04,1.563e+04,3.172e+04,9.187e+04
130.0,5.227e+04,1.250e+04,3.194e+04,9.672e+04
131.5,5.398e+04,1.122e+04,3.241e+04,9.761e+04
133.0,3.120e+04,1.028e+04,1.928e+04,6.076e+04
134.6,7.699e+03,1.004e+04,4.590e+03,2.233e+04
136.1,3.484e+03,9.774e+03,3.364e+03,1.662e+04
137.6,2.280e+03,9.747e+03,3.478e+03,1.550e+04
139.1,2.121e+03,9.675e+03,3.519e+03,1.531e+04
140.7,2.312e+03,8.535e+03,3.381e+03,1.423e+04
142.2,2.610e+03,6.727e+03,3.191e+03,1.253e+04
143.7,3.028e+03,6.321e+03,3.138e+03,1.249e+04
145.3,3.248e+03,5.850e+03,3.212e+03,1.231e+04
146.8,4.350e+03,4.482e+03,3.521e+03,1.235e+04
148.3,5.257e+03,3.840e+03,3.723e+03,1.282e+04
149.8,5.920e+03,3.228e+03,3.866e+03,1.301e+04
151.4,7.119e+03,2.493e+03,4.002e+03,1.361e+04
152.9,7.997e+03,2.005e+03,3.780e+03,1.378e+04
154.4,8.299e+03,1.540e+03,3.486e+03,1.333e+04
156.0,7.248e+03,1.352e+03,3.200e+03,1.180e+04
157.5,6.335e+03,1.219e+03,3.023e+03,1.058e+04
159.0,5.596e+03,1.213e+03,2.939e+03,9.747e+03
160.5,4.525e+03,1.296e+03,2.894e+03,8.715e+03
162.1,3.634e+03,1.330e+03,3.022e+03,7.987e+03
163.6,2.754e+03,1.416e+03,3.291e+03,7.461e+03
165.1,1.996e+03,1.575e+03,4.290e+03,7.862e+03
166.7,1.675e+03,1.676e+03,5.382e+03,8.733e+03
168.2,1.780e+03,1.664e+03,5.504e+03,8.948e+03
169.7,2.009e+03,1.701e+03,5.540e+03,9.250e+03
171.2,2.052e+03,1.739e+03,5.604e+03,9.396e+03
172.8,2.013e+03,1.704e+03,5.707e+03,9.424e+03
174.3,2.146e+03,1.741e+03,5.953e+03,9.840e+03
175.8,2.224e+03,1.798e+03,6.181e+03,1.020e+04
177.4,2.659e+03,1.755e+03,6.342e+03,1.076e+04
178.9,3.315e+03,1.685e+03,6.355e+03,1.136e+04
180.4,3.957e+03,1.615e+03,6.569e+03,1.214e+04
182.0,4.456e+03,1.594e+03,6.696e+03,1.275e+04
183.5,4.707e+03,1.510e+03,6.856e+03,1.307e+04
185.0,4.894e+03,1.504e+03,7.112e+03,1.351e+04
186.5,5.251e+03,1.578e+03,7.422e+03,1.425e+04
188.1,5.740e+03,1.761e+03,7.541e+03,1.504e+04
189.6,6.175e+03,1.887e+03,7.482e+03,1.554e+04
