freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.382e+01,1.549e+02,3.319e+02,5.005e+02
1.5,3.417e+01,2.244e+02,2.285e+02,4.871e+02
3.1,3.505e+01,1.629e+02,6.513e+01,2.631e+02
4.6,3.515e+01,1.760e+02,5.713e+02,7.825e+02
6.1,3.546e+01,1.540e+02,2.053e+03,2.242e+03
7.7,3.699e+01,1.583e+02,3.397e+03,3.592e+03
9.2,3.865e+01,1.712e+02,5.032e+03,5.242e+03
10.7,3.910e+01,1.601e+02,7.160e+03,7.359e+03
12.3,3.393e+01,1.637e+02,9.701e+03,9.899e+03
13.8,3.175e+01,1.879e+02,1.294e+04,1.316e+04
15.3,3.730e+01,2.126e+02,1.702e+04,1.727e+04
16.9,3.822e+01,2.514e+02,2.277e+04,2.306e+04
18.4,4.689e+01,3.130e+02,3.158e+04,3.194e+04
19.9,1.115e+02,5.289e+02,4.764e+04,4.828e+04
21.5,3.183e+02,1.047e+03,7.960e+04,8.096e+04
23.0,4.977e+02,1.835e+03,1.144e+05,1.167e+05
24.5,4.772e+02,1.865e+03,8.993e+04,9.227e+04
26.1,2.548e+02,1.334e+03,4.601e+04,4.760e+04
27.6,1.099e+02,8.348e+02,2.120e+04,2.215e+04
29.2,6.401e+01,4.797e+02,1.295e+04,1.350e+04
30.7,4.648e+01,4.123e+02,1.517e+04,1.562e+04
32.2,4.756e+01,6.500e+02,2.342e+04,2.412e+04
33.8,5.181e+01,1.391e+03,3.614e+04,3.758e+04
35.3,6.087e+01,3.279e+03,5.716e+04,6.050e+04
36.8,7.729e+01,7.279e+03,8.876e+04,9.612e+04
38.4,1.330e+02,1.483e+04,1.327e+05,1.477e+05
39.9,3.790e+02,3.370e+04,2.222e+05,2.563e+05
41.4,6.041e+02,8.654e+04,4.014e+05,4.885e+05
43.0,5.494e+02,1.994e+05,6.638e+05,8.637e+05
44.5,3.452e+02,2.713e+05,6.878e+05,9.594e+05
46.0,3.262e+02,2.313e+05,4.509e+05,6.825e+05
47.6,5.982e+02,1.822e+05,2.782e+05,4.610e+05
49.1,6.675e+02,1.612e+05,1.941e+05,3.560e+05
50.6,4.590e+02,1.583e+05,1.457e+05,3.045e+05
52.2,3.583e+02,1.342e+05,8.182e+04,2.164e+05
53.7,3.810e+02,1.064e+05,4.272e+04,1.495e+05
55.2,4.940e+02,8.563e+04,2.467e+04,1.108e+05
56.8,6.371e+02,7.429e+04,1.511e+04,9.003e+04
58.3,7.486e+02,7.356e+04,1.208e+04,8.639e+04
59.8,8.334e+02,7.563e+04,1.104e+04,8.750e+04
61.4,1.103e+03,7.933e+04,1.056e+04,9.099e+04
62.9,1.383e+03,8.348e+04,1.077e+04,9.564e+04
64.4,1.710e+03,8.977e+04,1.165e+04,1.031e+05
66.0,2.154e+03,9.654e+04,1.376e+04,1.125e+05
67.5,2.747e+03,1.011e+05,1.654e+04,1.204e+05
69.0,3.481e+03,1.006e+05,1.958e+04,1.236e+05
70.6,4.675e+03,8.456e+04,2.018e+04,1.094e+05
72.1,6.480e+03,7.285e+04,2.290e+04,1.022e+05
73.6,8.952e+03,8.150e+04,3.168e+04,1.221e+05
75.2,1.218e+04,9.279e+04,4.300e+04,1.480e+05
76.7,1.366e+04,1.061e+05,6.066e+04,1.804e+05
78.2,1.012e+04,1.276e+05,8.945e+04,2.271e+05
79.8,6.084e+03,1.648e+05,1.405e+05,3.114e+05
81.3,6.977e+03,2.068e+05,2.136e+05,4.274e+05
82.9,7.884e+03,2.433e+05,3.078e+05,5.590e+05
84.4,7.514e+03,2.682e+05,3.961e+05,6.718e+05
85.9,8.801e+03,2.579e+05,4.200e+05,6.867e+05
87.5,1.131e+04,2.219e+05,3.935e+05,6.267e+05
89.0,1.302e+04,1.981e+05,3.642e+05,5.753e+05
90.5,1.209e+04,1.839e+05,3.512e+05,5.472e+05
92.1,1.212e+04,1.553e+05,3.242e+05,4.917e+05
93.6,1.470e+04,1.278e+05,2.945e+05,4.370e+05
95.1,1.769e+04,1.001e+05,2.713e+05,3.890e+05
96.7,1.667e+04,7.621e+04,2.400e+05,3.328e+05
98.2,1.400e+04,5.311e+04,1.741e+05,2.412e+05
99.7,1.265e+04,4.136e+04,1.491e+05,2.031e+05
101.3,1.169e+04,3.639e+04,1.583e+05,2.064e+05
