freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.309e+03,4.847e+01,2.281e+01,1.380e+03
1.5,8.657e+02,1.672e+02,4.676e+01,1.080e+03
3.1,1.302e+02,1.878e+02,4.293e+01,3.609e+02
4.6,5.899e+02,2.053e+02,4.569e+01,8.409e+02
6.1,1.880e+03,2.192e+02,4.880e+01,2.148e+03
7.7,3.037e+03,2.163e+02,5.190e+01,3.305e+03
9.2,4.396e+03,2.202e+02,5.235e+01,4.668e+03
10.7,6.132e+03,1.985e+02,5.412e+01,6.384e+03
12.3,8.230e+03,1.897e+02,5.258e+01,8.472e+03
13.8,1.081e+04,2.009e+02,5.304e+01,1.106e+04
15.3,1.429e+04,1.913e+02,5.364e+01,1.454e+04
16.9,1.988e+04,2.019e+02,4.889e+01,2.013e+04
18.4,3.073e+04,2.009e+02,5.952e+01,3.099e+04
20.0,4.065e+04,2.131e+02,1.229e+02,4.099e+04
21.5,2.351e+04,2.246e+02,1.951e+02,2.393e+04
23.0,9.407e+03,2.122e+02,2.074e+02,9.826e+03
24.6,9.028e+03,2.053e+02,2.131e+02,9.447e+03
26.1,1.290e+04,1.997e+02,1.717e+02,1.327e+04
27.6,1.766e+04,2.077e+02,1.007e+02,1.797e+04
29.2,2.225e+04,2.030e+02,6.519e+01,2.252e+04
30.7,2.730e+04,1.965e+02,5.784e+01,2.756e+04
32.2,3.275e+04,2.151e+02,5.188e+01,3.302e+04
33.8,3.749e+04,2.131e+02,4.971e+01,3.776e+04
35.3,4.464e+04,2.129e+02,5.439e+01,4.490e+04
36.8,5.289e+04,2.146e+02,6.179e+01,5.317e+04
38.4,5.896e+04,2.235e+02,1.035e+02,5.928e+04
39.9,6.690e+04,4.528e+02,4.513e+02,6.781e+04
41.4,7.838e+04,1.471e+03,2.213e+03,8.206e+04
43.0,9.128e+04,3.863e+03,6.743e+03,1.019e+05
44.5,1.042e+05,8.738e+03,1.651e+04,1.295e+05
46.0,1.180e+05,1.491e+04,3.189e+04,1.648e+05
47.6,1.400e+05,1.309e+04,3.187e+04,1.850e+05
49.1,1.648e+05,5.913e+03,1.766e+04,1.884e+05
50.6,1.939e+05,3.201e+03,1.168e+04,2.087e+05
52.2,2.266e+05,2.242e+03,9.559e+03,2.384e+05
53.7,2.582e+05,1.419e+03,7.866e+03,2.675e+05
55.3,2.803e+05,1.099e+03,7.271e+03,2.887e+05
56.8,3.136e+05,9.896e+02,7.264e+03,3.219e+05
58.3,3.708e+05,9.401e+02,7.375e+03,3.791e+05
59.9,4.429e+05,8.581e+02,6.586e+03,4.503e+05
61.4,5.320e+05,9.401e+02,5.492e+03,5.385e+05
62.9,6.425e+05,1.239e+03,4.534e+03,6.483e+05
64.5,7.812e+05,1.752e+03,3.798e+03,7.867e+05
66.0,9.565e+05,2.328e+03,3.184e+03,9.620e+05
