freq,psd_x,psd_y,psd_z,psd_xyz
137.9,6.685e+03,2.620e+03,7.550e+03,1.685e+04
139.4,6.412e+03,2.849e+03,7.112e+03,1.637e+04
141.0,4.785e+03,3.023e+03,6.604e+03,1.441e+04
142.5,3.120e+03,3.274e+03,6.033e+03,1.243e+04
144.0,2.455e+03,3.451e+03,5.417e+03,1.132e+04
145.5,2.189e+03,3.556e+03,4.830e+03,1.058e+04
147.0,2.137e+03,3.739e+03,4.412e+03,1.029e+04
148.5,1.938e+03,3.937e+03,4.185e+03,1.006e+04
150.1,2.064e+03,4.693e+03,3.987e+03,1.074e+04
151.6,2.525e+03,5.769e+03,3.881e+03,1.218e+04
153.1,3.549e+03,6.889e+03,3.996e+03,1.443e+04
154.6,4.365e+03,8.009e+03,4.012e+03,1.639e+04
156.1,4.582e+03,8.739e+03,3.868e+03,1.719e+04
157.6,5.180e+03,9.231e+03,3.799e+03,1.821e+04
159.2,6.187e+03,9.466e+03,3.906e+03,1.956e+04
160.7,6.911e+03,9.571e+03,4.176e+03,2.066e+04
162.2,7.408e+03,9.355e+03,4.543e+03,2.131e+04
163.7,8.584e+03,8.922e+03,4.940e+03,2.245e+04
165.2,1.049e+04,8.533e+03,5.718e+03,2.474e+04
166.7,1.089e+04,8.317e+03,6.174e+03,2.538e+04
168.2,8.941e+03,7.771e+03,5.504e+03,2.222e+04
169.8,6.677e+03,7.278e+03,4.713e+03,1.867e+04
171.3,5.233e+03,6.848e+03,4.271e+03,1.635e+04
172.8,4.964e+03,6.399e+03,4.045e+03,1.541e+04
174.3,4.561e+03,6.037e+03,4.013e+03,1.461e+04
175.8,5.391e+03,6.974e+03,4.313e+03,1.668e+04
177.3,8.531e+03,1.161e+04,5.816e+03,2.595e+04
178.9,1.256e+04,1.874e+04,7.849e+03,3.915e+04
180.4,1.137e+04,2.085e+04,7.299e+03,3.951e+04
181.9,7.611e+03,1.620e+04,5.190e+03,2.901e+04
183.4,5.124e+03,1.132e+04,3.309e+03,1.975e+04
184.9,4.473e+03,1.207e+04,2.705e+03,1.925e+04
186.4,4.078e+03,1.277e+04,2.473e+03,1.932e+04
188.0,3.884e+03,1.431e+04,2.363e+03,2.056e+04
189.5,3.998e+03,1.613e+04,2.333e+03,2.246e+04
191.0,4.419e+03,1.887e+04,2.773e+03,2.606e+04
192.5,5.172e+03,1.966e+04,3.555e+03,2.839e+04
194.0,5.787e+03,2.214e+04,3.868e+03,3.179e+04
195.5,7.680e+03,3.474e+04,4.362e+03,4.678e+04
197.0,9.290e+03,3.313e+04,4.352e+03,4.678e+04
198.6,8.898e+03,1.896e+04,4.116e+03,3.198e+04
