freq,psd_x,psd_y,psd_z,psd_xyz
133.9,7.676e+04,1.812e+04,2.221e+03,9.711e+04
135.4,1.273e+04,3.662e+03,6.501e+02,1.704e+04
137.0,1.309e+04,4.196e+03,7.954e+02,1.809e+04
138.5,1.310e+04,4.789e+03,1.009e+03,1.890e+04
140.0,1.215e+04,5.419e+03,1.242e+03,1.881e+04
141.5,1.091e+04,5.812e+03,1.462e+03,1.818e+04
143.0,1.076e+04,6.179e+03,1.595e+03,1.853e+04
144.6,1.106e+04,6.720e+03,1.609e+03,1.939e+04
146.1,1.240e+04,7.418e+03,1.718e+03,2.153e+04
147.6,1.452e+04,8.348e+03,1.948e+03,2.482e+04
149.1,1.574e+04,9.618e+03,2.221e+03,2.757e+04
150.7,1.650e+04,1.066e+04,2.527e+03,2.968e+04
152.2,1.747e+04,1.107e+04,2.666e+03,3.120e+04
153.7,1.768e+04,1.199e+04,2.586e+03,3.226e+04
155.2,1.770e+04,1.256e+04,2.734e+03,3.299e+04
156.7,1.786e+04,1.303e+04,3.119e+03,3.402e+04
158.3,1.835e+04,1.312e+04,3.567e+03,3.504e+04
159.8,1.749e+04,1.229e+04,3.946e+03,3.373e+04
161.3,1.654e+04,1.157e+04,4.450e+03,3.256e+04
162.8,1.523e+04,1.010e+04,4.846e+03,3.017e+04
164.3,1.402e+04,8.988e+03,4.732e+03,2.774e+04
165.9,1.512e+04,8.798e+03,4.684e+03,2.860e+04
167.4,1.612e+04,8.776e+03,4.786e+03,2.969e+04
168.9,1.485e+04,8.147e+03,5.039e+03,2.803e+04
170.4,1.567e+04,8.226e+03,5.641e+03,2.954e+04
172.0,1.686e+04,8.893e+03,6.024e+03,3.177e+04
173.5,1.731e+04,1.025e+04,6.262e+03,3.383e+04
175.0,1.878e+04,1.254e+04,6.648e+03,3.796e+04
176.5,2.180e+04,1.488e+04,7.134e+03,4.382e+04
178.0,2.673e+04,1.752e+04,7.861e+03,5.212e+04
179.6,3.214e+04,2.264e+04,8.433e+03,6.321e+04
181.1,4.041e+04,3.320e+04,8.971e+03,8.258e+04
182.6,4.736e+04,4.530e+04,9.550e+03,1.022e+05
184.1,5.159e+04,5.217e+04,1.068e+04,1.144e+05
185.7,5.389e+04,5.715e+04,1.176e+04,1.228e+05
187.2,5.622e+04,6.281e+04,1.287e+04,1.319e+05
188.7,5.786e+04,6.980e+04,1.444e+04,1.421e+05
190.2,5.946e+04,7.496e+04,1.594e+04,1.504e+05
191.7,6.147e+04,7.696e+04,1.808e+04,1.565e+05
193.3,6.062e+04,7.711e+04,2.010e+04,1.578e+05
194.8,5.749e+04,7.414e+04,2.243e+04,1.541e+05
196.3,6.018e+04,6.741e+04,2.671e+04,1.543e+05
197.8,6.816e+04,6.207e+04,3.026e+04,1.605e+05
199.3,1.179e+05,8.264e+04,3.849e+04,2.391e+05
