freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.073e+02,2.071e+01,1.492e+01,8.429e+02
1.5,4.855e+02,6.334e+01,3.164e+01,5.805e+02
3.1,4.578e+01,5.766e+01,3.538e+01,1.388e+02
4.6,2.869e+02,9.190e+01,3.860e+01,4.174e+02
6.1,1.004e+03,9.626e+01,3.845e+01,1.139e+03
7.7,1.707e+03,9.143e+01,4.312e+01,1.842e+03
9.2,2.291e+03,1.097e+02,4.913e+01,2.450e+03
10.7,2.792e+03,1.251e+02,4.951e+01,2.967e+03
12.3,3.615e+03,1.144e+02,4.646e+01,3.776e+03
13.8,4.678e+03,1.092e+02,4.492e+01,4.832e+03
15.4,5.689e+03,1.199e+02,4.922e+01,5.858e+03
16.9,7.099e+03,1.165e+02,6.096e+01,7.276e+03
18.4,8.500e+03,1.001e+02,8.802e+01,8.688e+03
20.0,9.583e+03,1.092e+02,1.193e+02,9.812e+03
21.5,1.063e+04,1.192e+02,1.563e+02,1.090e+04
23.0,1.218e+04,1.224e+02,1.620e+02,1.247e+04
24.6,1.438e+04,1.387e+02,2.085e+02,1.472e+04
26.1,1.723e+04,1.447e+02,3.242e+02,1.770e+04
27.6,1.983e+04,1.494e+02,4.591e+02,2.044e+04
29.2,2.106e+04,1.763e+02,5.759e+02,2.181e+04
30.7,2.319e+04,2.433e+02,8.382e+02,2.427e+04
32.2,2.582e+04,3.020e+02,1.205e+03,2.733e+04
33.8,2.721e+04,3.052e+02,1.317e+03,2.883e+04
35.3,2.965e+04,2.891e+02,1.283e+03,3.122e+04
36.9,3.402e+04,3.522e+02,1.521e+03,3.589e+04
38.4,3.861e+04,4.067e+02,1.512e+03,4.053e+04
39.9,4.330e+04,5.062e+02,1.530e+03,4.534e+04
41.5,4.573e+04,6.539e+02,2.041e+03,4.842e+04
43.0,5.022e+04,6.485e+02,2.378e+03,5.325e+04
44.5,5.973e+04,5.793e+02,2.341e+03,6.265e+04
46.1,7.224e+04,4.802e+02,2.302e+03,7.502e+04
47.6,8.645e+04,3.903e+02,2.215e+03,8.906e+04
49.1,1.037e+05,2.692e+02,1.906e+03,1.059e+05
50.7,1.207e+05,1.595e+02,1.394e+03,1.222e+05
52.2,1.287e+05,1.363e+02,1.144e+03,1.299e+05
53.7,1.294e+05,1.351e+02,1.003e+03,1.305e+05
55.3,1.445e+05,1.572e+02,8.649e+02,1.456e+05
56.8,1.710e+05,1.979e+02,7.496e+02,1.720e+05
58.3,2.095e+05,2.652e+02,7.237e+02,2.105e+05
59.9,2.587e+05,3.385e+02,8.367e+02,2.599e+05
61.4,3.206e+05,4.010e+02,1.039e+03,3.221e+05
63.0,4.034e+05,4.441e+02,1.232e+03,4.051e+05
64.5,5.144e+05,5.756e+02,1.231e+03,5.162e+05
66.0,6.668e+05,6.956e+02,1.353e+03,6.689e+05
67.6,8.592e+05,7.688e+02,1.518e+03,8.615e+05
69.1,1.133e+06,9.562e+02,1.795e+03,1.135e+06
70.6,1.481e+06,1.242e+03,2.378e+03,1.484e+06
72.2,1.930e+06,1.686e+03,2.980e+03,1.935e+06
73.7,2.298e+06,2.252e+03,3.759e+03,2.304e+06
75.2,2.734e+06,3.278e+03,4.857e+03,2.743e+06
76.8,3.874e+06,5.033e+03,8.320e+03,3.888e+06
78.3,5.023e+06,7.463e+03,1.248e+04,5.043e+06
79.8,5.242e+06,9.944e+03,1.464e+04,5.267e+06
81.4,4.542e+06,1.110e+04,1.421e+04,4.567e+06
82.9,3.675e+06,1.094e+04,1.340e+04,3.700e+06
84.4,2.920e+06,1.035e+04,1.229e+04,2.942e+06
86.0,2.355e+06,9.687e+03,1.098e+04,2.375e+06
87.5,1.880e+06,9.139e+03,9.771e+03,1.899e+06
89.1,1.513e+06,8.433e+03,8.204e+03,1.530e+06
90.6,1.257e+06,8.293e+03,7.564e+03,1.272e+06
92.1,1.064e+06,8.529e+03,7.757e+03,1.080e+06
93.7,9.108e+05,8.332e+03,7.693e+03,9.268e+05
95.2,8.233e+05,8.319e+03,8.232e+03,8.398e+05
96.7,8.007e+05,8.573e+03,1.011e+04,8.194e+05
98.3,7.469e+05,8.833e+03,1.103e+04,7.667e+05
99.8,5.918e+05,1.025e+04,8.827e+03,6.109e+05
101.3,4.598e+05,1.255e+04,7.387e+03,4.797e+05
102.9,4.232e+05,1.432e+04,9.649e+03,4.472e+05
104.4,4.081e+05,1.673e+04,1.390e+04,4.388e+05
105.9,3.962e+05,1.779e+04,1.802e+04,4.320e+05
107.5,3.803e+05,1.575e+04,2.217e+04,4.183e+05
109.0,3.748e+05,1.182e+04,2.376e+04,4.104e+05
110.6,3.736e+05,8.978e+03,2.053e+04,4.031e+05
112.1,3.706e+05,7.218e+03,1.573e+04,3.936e+05
113.6,3.541e+05,6.949e+03,1.172e+04,3.727e+05
115.2,3.405e+05,6.917e+03,8.436e+03,3.558e+05
116.7,3.329e+05,7.859e+03,6.752e+03,3.475e+05
118.2,3.342e+05,9.967e+03,6.699e+03,3.508e+05
119.8,3.267e+05,1.319e+04,7.545e+03,3.474e+05
121.3,2.529e+05,1.629e+04,6.341e+03,2.756e+05
122.8,2.232e+05,2.319e+04,6.427e+03,2.528e+05
124.4,2.490e+05,3.645e+04,8.203e+03,2.936e+05
125.9,2.661e+05,5.938e+04,9.514e+03,3.350e+05
127.4,2.699e+05,8.486e+04,1.067e+04,3.654e+05
129.0,2.793e+05,1.090e+05,1.256e+04,4.009e+05
130.5,2.969e+05,1.294e+05,1.473e+04,4.410e+05
132.0,2.615e+05,1.304e+05,1.438e+04,4.062e+05
133.6,8.255e+04,8.090e+04,6.749e+03,1.702e+05
135.1,1.988e+04,4.838e+04,3.699e+03,7.196e+04
136.7,1.930e+04,3.032e+04,3.277e+03,5.290e+04
138.2,1.971e+04,1.976e+04,3.119e+03,4.259e+04
139.7,1.990e+04,1.512e+04,3.239e+03,3.826e+04
141.3,2.011e+04,1.333e+04,3.618e+03,3.706e+04
142.8,2.042e+04,1.164e+04,3.878e+03,3.594e+04
144.3,2.130e+04,8.995e+03,4.053e+03,3.434e+04
145.9,2.074e+04,6.949e+03,4.086e+03,3.177e+04
147.4,2.425e+04,4.474e+03,4.146e+03,3.287e+04
148.9,2.797e+04,2.841e+03,4.213e+03,3.503e+04
150.5,2.947e+04,2.194e+03,4.207e+03,3.587e+04
152.0,2.657e+04,2.101e+03,3.761e+03,3.243e+04
153.5,2.358e+04,1.952e+03,3.321e+03,2.886e+04
155.1,2.261e+04,1.869e+03,3.265e+03,2.774e+04
156.6,2.119e+04,1.623e+03,3.211e+03,2.603e+04
158.1,2.310e+04,1.291e+03,3.444e+03,2.783e+04
159.7,2.272e+04,1.123e+03,3.676e+03,2.752e+04
161.2,2.147e+04,1.125e+03,3.561e+03,2.616e+04
162.8,1.631e+04,1.327e+03,3.343e+03,2.098e+04
164.3,1.163e+04,1.883e+03,3.276e+03,1.679e+04
165.8,1.133e+04,2.676e+03,3.679e+03,1.769e+04
167.4,1.303e+04,3.185e+03,4.174e+03,2.039e+04
168.9,1.456e+04,3.975e+03,4.592e+03,2.312e+04
170.4,1.581e+04,4.166e+03,4.829e+03,2.480e+04
172.0,1.575e+04,4.144e+03,4.797e+03,2.469e+04
173.5,1.534e+04,4.403e+03,4.693e+03,2.444e+04
175.0,1.508e+04,4.406e+03,4.639e+03,2.412e+04
176.6,1.654e+04,4.144e+03,4.991e+03,2.567e+04
178.1,1.727e+04,3.828e+03,5.102e+03,2.620e+04
179.6,1.915e+04,3.448e+03,5.428e+03,2.803e+04
181.2,2.040e+04,3.166e+03,5.622e+03,2.919e+04
182.7,1.907e+04,2.722e+03,5.135e+03,2.692e+04
184.3,1.552e+04,2.208e+03,4.088e+03,2.182e+04
185.8,1.356e+04,2.013e+03,3.445e+03,1.902e+04
187.3,1.428e+04,1.969e+03,3.243e+03,1.949e+04
188.9,1.433e+04,1.795e+03,2.866e+03,1.899e+04
190.4,1.263e+04,1.588e+03,2.498e+03,1.672e+04
191.9,1.050e+04,1.422e+03,2.248e+03,1.417e+04
193.5,9.939e+03,1.340e+03,2.568e+03,1.385e+04
195.0,1.051e+04,1.374e+03,2.909e+03,1.479e+04
196.5,8.089e+03,1.390e+03,2.398e+03,1.188e+04
198.1,6.529e+03,1.360e+03,2.008e+03,9.898e+03
199.6,7.194e+03,1.407e+03,1.975e+03,1.058e+04
